id,requirement,priority_or_target,source,line,implementation_slices,verification,status,evidence
FR-001,Run a pinned Codex App Server locally,P0,docs/TradeX_PRD_v1.0_RevC.md,2796,S04,实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯,NOT_STARTED,
FR-002,Support persistent Thread / Turn / Item UX,P0,docs/TradeX_PRD_v1.0_RevC.md,2797,S04,实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯,NOT_STARTED,
FR-003,Stream agent and tool activity in real time,P0,docs/TradeX_PRD_v1.0_RevC.md,2798,S04,实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯,NOT_STARTED,
FR-004,Resume prior threads,P0,docs/TradeX_PRD_v1.0_RevC.md,2799,S04,实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯,NOT_STARTED,
FR-005,Render structured financial timeline cards,P0,docs/TradeX_PRD_v1.0_RevC.md,2800,S04,实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯,NOT_STARTED,
FR-006,Implement TradeX typed domain tools,P0,docs/TradeX_PRD_v1.0_RevC.md,2801,"S05,S10",真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立；实际工具结果标记进入最终结果；缺失/篡改负例；来源及注入隔离,NOT_STARTED,
FR-007,Separate trusted control plane from agent zone,P0,docs/TradeX_PRD_v1.0_RevC.md,2802,"S01,S05,S24",实际 Tauri invoke；临时 SQLite 重开；command/result/event/snapshot/replay 拒绝与恢复；真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界,IN_PROGRESS,S01: docs/implementation/s01-evidence.md; code 2424dd5bdadb76a63fdf485caff4bc66d7466781. Workspace contribution verified; remaining mapped slices are incomplete.
FR-008,Implement OS keychain credential storage,P0,docs/TradeX_PRD_v1.0_RevC.md,2803,S02,原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储,NOT_STARTED,
FR-009,Implement canonical instrument model,P0,docs/TradeX_PRD_v1.0_RevC.md,2804,S07,真实 provider snapshot/历史与 DuckDB 查询；canonical identity 和订阅上限,NOT_STARTED,
FR-010,Implement provider capability discovery,P0,docs/TradeX_PRD_v1.0_RevC.md,2805,S02,原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储,NOT_STARTED,
FR-011,Implement market-data service,P0,docs/TradeX_PRD_v1.0_RevC.md,2806,S07,真实 provider snapshot/历史与 DuckDB 查询；canonical identity 和订阅上限,NOT_STARTED,
FR-012,Implement market-data freshness metadata,P0,docs/TradeX_PRD_v1.0_RevC.md,2807,S07,真实 provider snapshot/历史与 DuckDB 查询；canonical identity 和订阅上限,NOT_STARTED,
FR-013,Implement portfolio aggregation,P0,docs/TradeX_PRD_v1.0_RevC.md,2808,S09,多币与 depeg 估值；真实 source/path/双时间戳；不可信转换阻止依赖性 Live risk,NOT_STARTED,
FR-014,Implement account-currency and FX normalization,P0,docs/TradeX_PRD_v1.0_RevC.md,2809,S09,多币与 depeg 估值；真实 source/path/双时间戳；不可信转换阻止依赖性 Live risk,NOT_STARTED,
FR-015,Implement Alpaca Paper adapter,P0,docs/TradeX_PRD_v1.0_RevC.md,2810,S17,Alpaca Paper 官方环境 place/query/cancel/stream 与 contract/fault 检查,NOT_STARTED,
FR-016,Implement Trading 212 Demo/Live adapter,P0,docs/TradeX_PRD_v1.0_RevC.md,2811,"S18,S28",Trading 212 Demo 官方环境身份/权限/下单查询撤单与不确定结果检查；Trading 212 Live 真实只读/权限/data entitlement 和具体授权交易验收证据,NOT_STARTED,
FR-017,Implement Binance Testnet/Live Spot adapter,P0,docs/TradeX_PRD_v1.0_RevC.md,2812,"S19,S29",Binance Spot Testnet 官方环境规则/签名/时间/数量/下单查询撤单检查；Binance Spot Live 真实只读/权限/FX/rules 和具体授权交易验收证据,NOT_STARTED,
FR-018,Implement Bitget Demo/Live Spot adapter,P0,docs/TradeX_PRD_v1.0_RevC.md,2813,"S20,S30",Bitget Spot Demo 官方支持证据、环境标记及下单查询撤单检查；Bitget Spot Live 真实只读/权限/身份及具体授权交易验收证据,NOT_STARTED,
FR-019,Implement OrderProposal model,P0,docs/TradeX_PRD_v1.0_RevC.md,2814,S13,全字段编辑/刷新产生新身份与 hash；旧对象不变、旧审批失效,NOT_STARTED,
FR-020,Implement deterministic Risk Engine,P0,docs/TradeX_PRD_v1.0_RevC.md,2815,S21,全部政策字段的 public-command 拒绝路径；Agent 拒绝；多账户 policy version,NOT_STARTED,
FR-021,Implement pre-approval validation,P0,docs/TradeX_PRD_v1.0_RevC.md,2816,S22,无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
FR-022,Implement pre-execution validation,P0,docs/TradeX_PRD_v1.0_RevC.md,2817,"S23,S24",双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界,NOT_STARTED,
FR-023,Implement account-scoped atomic execution reservations,P0,docs/TradeX_PRD_v1.0_RevC.md,2818,"S23,S25",双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态；provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
FR-024,Implement single-use live approval,P0,docs/TradeX_PRD_v1.0_RevC.md,2819,S22,无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
FR-025,Implement privileged Order Gateway,P0,docs/TradeX_PRD_v1.0_RevC.md,2820,S24,真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界,NOT_STARTED,
FR-026,Implement idempotency and reconciliation,P0,docs/TradeX_PRD_v1.0_RevC.md,2821,"S25,S27",provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态；真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
FR-027,Implement account-scoped live arming/disarming + global disable-all,P0,docs/TradeX_PRD_v1.0_RevC.md,2822,S22,无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
FR-028,Implement crash/startup reconciliation,P0,docs/TradeX_PRD_v1.0_RevC.md,2823,S27,真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
FR-029,Implement local execution audit trail,P0,docs/TradeX_PRD_v1.0_RevC.md,2824,"S12,S25",关闭重开 Artifact；导出内容与 immutable provenance/审计链核对；provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
FR-030,Implement provider rate limiting,P0,docs/TradeX_PRD_v1.0_RevC.md,2825,S27,真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
